LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,CPI,TOT,IDX2015,Q,1955-Q1,11.26501,
USA,CPI,TOT,IDX2015,Q,1955-Q2,11.26501,
USA,CPI,TOT,IDX2015,Q,1955-Q3,11.32127,
USA,CPI,TOT,IDX2015,Q,1955-Q4,11.33533,
USA,CPI,TOT,IDX2015,Q,1956-Q1,11.30721,
USA,CPI,TOT,IDX2015,Q,1956-Q2,11.40565,
USA,CPI,TOT,IDX2015,Q,1956-Q3,11.54629,
USA,CPI,TOT,IDX2015,Q,1956-Q4,11.61661,
USA,CPI,TOT,IDX2015,Q,1957-Q1,11.68692,
USA,CPI,TOT,IDX2015,Q,1957-Q2,11.8135,
USA,CPI,TOT,IDX2015,Q,1957-Q3,11.94007,
USA,CPI,TOT,IDX2015,Q,1957-Q4,11.9682,
USA,CPI,TOT,IDX2015,Q,1958-Q1,12.09477,
USA,CPI,TOT,IDX2015,Q,1958-Q2,12.19322,
USA,CPI,TOT,IDX2015,Q,1958-Q3,12.20728,
USA,CPI,TOT,IDX2015,Q,1958-Q4,12.20728,
USA,CPI,TOT,IDX2015,Q,1959-Q1,12.20728,
USA,CPI,TOT,IDX2015,Q,1959-Q2,12.24947,
USA,CPI,TOT,IDX2015,Q,1959-Q3,12.33385,
USA,CPI,TOT,IDX2015,Q,1959-Q4,12.40417,
USA,CPI,TOT,IDX2015,Q,1960-Q1,12.39011,
USA,CPI,TOT,IDX2015,Q,1960-Q2,12.46043,
USA,CPI,TOT,IDX2015,Q,1960-Q3,12.48856,
USA,CPI,TOT,IDX2015,Q,1960-Q4,12.57294,
USA,CPI,TOT,IDX2015,Q,1961-Q1,12.57294,
USA,CPI,TOT,IDX2015,Q,1961-Q2,12.57294,
USA,CPI,TOT,IDX2015,Q,1961-Q3,12.64326,
USA,CPI,TOT,IDX2015,Q,1961-Q4,12.65732,
USA,CPI,TOT,IDX2015,Q,1962-Q1,12.68545,
USA,CPI,TOT,IDX2015,Q,1962-Q2,12.7417,
USA,CPI,TOT,IDX2015,Q,1962-Q3,12.79796,
USA,CPI,TOT,IDX2015,Q,1962-Q4,12.82608,
USA,CPI,TOT,IDX2015,Q,1963-Q1,12.84015,
USA,CPI,TOT,IDX2015,Q,1963-Q2,12.88234,
USA,CPI,TOT,IDX2015,Q,1963-Q3,12.95266,
USA,CPI,TOT,IDX2015,Q,1963-Q4,13.00891,
USA,CPI,TOT,IDX2015,Q,1964-Q1,13.03704,
USA,CPI,TOT,IDX2015,Q,1964-Q2,13.0511,
USA,CPI,TOT,IDX2015,Q,1964-Q3,13.10736,
USA,CPI,TOT,IDX2015,Q,1964-Q4,13.14955,
USA,CPI,TOT,IDX2015,Q,1965-Q1,13.17768,
USA,CPI,TOT,IDX2015,Q,1965-Q2,13.27612,
USA,CPI,TOT,IDX2015,Q,1965-Q3,13.33238,
USA,CPI,TOT,IDX2015,Q,1965-Q4,13.38863,
USA,CPI,TOT,IDX2015,Q,1966-Q1,13.48708,
USA,CPI,TOT,IDX2015,Q,1966-Q2,13.64178,
USA,CPI,TOT,IDX2015,Q,1966-Q3,13.76835,
USA,CPI,TOT,IDX2015,Q,1966-Q4,13.88086,
USA,CPI,TOT,IDX2015,Q,1967-Q1,13.89492,
USA,CPI,TOT,IDX2015,Q,1967-Q2,14.00743,
USA,CPI,TOT,IDX2015,Q,1967-Q3,14.13401,
USA,CPI,TOT,IDX2015,Q,1967-Q4,14.26058,
USA,CPI,TOT,IDX2015,Q,1968-Q1,14.42935,
USA,CPI,TOT,IDX2015,Q,1968-Q2,14.56998,
USA,CPI,TOT,IDX2015,Q,1968-Q3,14.76687,
USA,CPI,TOT,IDX2015,Q,1968-Q4,14.93564,
USA,CPI,TOT,IDX2015,Q,1969-Q1,15.11847,
USA,CPI,TOT,IDX2015,Q,1969-Q2,15.37161,
USA,CPI,TOT,IDX2015,Q,1969-Q3,15.59663,
USA,CPI,TOT,IDX2015,Q,1969-Q4,15.82165,
USA,CPI,TOT,IDX2015,Q,1970-Q1,16.03261,
USA,CPI,TOT,IDX2015,Q,1970-Q2,16.29982,
USA,CPI,TOT,IDX2015,Q,1970-Q3,16.48264,
